publicatiedatumRIVM;aantal_nieuw_besmette_verpleeghuis_locaties;aantal_nieuw_besmettingsvrije_verpleeghuis_locaties;aantal_besmette_verpleeghuis_locaties
2020-08-07;0;0;20
2020-08-08;2;0;22
2020-08-09;0;2;20
2020-08-10;2;0;22
2020-08-11;4;0;26
2020-08-12;4;0;30
2020-08-13;2;0;32
2020-08-14;0;0;32
2020-08-15;3;0;35
2020-08-16;1;0;36
2020-08-17;1;0;37
2020-08-18;3;0;40
2020-08-19;2;1;41
2020-08-20;1;0;42
2020-08-21;1;1;42
2020-08-22;1;0;43
2020-08-23;0;1;42
2020-08-24;2;0;44
2020-08-25;1;0;45
2020-08-26;4;1;48
2020-08-27;0;2;46
2020-08-28;4;0;50
2020-08-29;1;1;50
2020-08-30;1;1;50
2020-08-31;2;0;52
2020-09-01;1;4;50
2020-09-02;1;0;51
2020-09-03;2;2;51
2020-09-04;2;2;51
2020-09-05;4;0;55
2020-09-06;2;5;52
2020-09-07;1;0;53
2020-09-08;5;0;58
2020-09-09;1;1;58
2020-09-10;4;2;60
2020-09-11;4;1;63
2020-09-12;5;3;65
2020-09-13;3;1;67
2020-09-14;5;4;68
2020-09-15;5;3;70
2020-09-16;7;4;73
2020-09-17;6;1;78
2020-09-18;6;1;83
2020-09-19;8;1;90
2020-09-20;9;1;98
2020-09-21;10;0;108
2020-09-22;6;1;113
2020-09-23;3;1;115
2020-09-24;10;3;122
2020-09-25;16;2;136
2020-09-26;5;1;140
2020-09-27;6;2;144
2020-09-28;9;0;153
2020-09-29;9;4;158
2020-09-30;8;1;165
2020-10-01;9;1;173
2020-10-02;10;2;181
2020-10-03;11;2;190
2020-10-04;13;3;200
2020-10-05;17;1;216
2020-10-06;20;2;234
2020-10-07;17;3;248
2020-10-08;17;3;262
2020-10-09;15;3;274
2020-10-10;18;3;289
2020-10-11;11;9;291
2020-10-12;23;7;307
2020-10-13;17;1;323
2020-10-14;22;6;339
