REGIO,GMCODE,VRCODE,VRNAME,INHABITANTS
Oosterhout,GM0826,VR20,Midden-enWest-Brabant,55982
Ooststellingwerf,GM0085,VR02,Fryslân,25469
Oostzaan,GM0431,VR11,Zaanstreek-Waterland,9735
Opmeer,GM0432,VR10,Noord-Holland-Noord,11836
Opsterland,GM0086,VR02,Fryslân,29733
Oss,GM0828,VR21,Brabant-Noord,91915
Oude IJsselstreek,GM1509,VR06,Noord-enOost-Gelderland,39388
Ouder-Amstel,GM0437,VR13,Amsterdam-Amstelland,14026
Oudewater,GM0589,VR09,Utrecht,10230
Overbetuwe,GM1734,VR07,Gelderland-Midden,47906
Papendrecht,GM0590,VR18,Zuid-Holland-Zuid,32136
Peel en Maas,GM1894,VR23,Limburg-Noord,43425
Pekela,GM0765,VR01,Groningen,12196
Pijnacker-Nootdorp,GM1926,VR15,Haaglanden,55308
Purmerend,GM0439,VR11,Zaanstreek-Waterland,81249
Putten,GM0273,VR06,Noord-enOost-Gelderland,24112
Raalte,GM0177,VR04,IJsselland,37712
Reimerswaal,GM0703,VR19,Zeeland,22730
Renkum,GM0274,VR07,Gelderland-Midden,31419
Renswoude,GM0339,VR09,Utrecht,5444
Reusel-De Mierden,GM1667,VR22,Brabant-Zuidoost,13112
Rheden,GM0275,VR07,Gelderland-Midden,43761
Rhenen,GM0340,VR09,Utrecht,20119
Ridderkerk,GM0597,VR17,Rotterdam-Rijnmond,46189
Rijssen-Holten,GM1742,VR05,Twente,38177
Rijswijk (ZH.),GM0603,VR15,Haaglanden,54450
Roerdalen,GM1669,VR23,Limburg-Noord,20574
Roermond,GM0957,VR23,Limburg-Noord,58260
De Ronde Venen,GM0736,VR09,Utrecht,44456
Roosendaal,GM1674,VR20,Midden-enWest-Brabant,77251
Rotterdam,GM0599,VR17,Rotterdam-Rijnmond,651157
Rozendaal,GM0277,VR07,Gelderland-Midden,1704
Rucphen,GM0840,VR20,Midden-enWest-Brabant,22878
Schagen,GM0441,VR10,Noord-Holland-Noord,46483
Scherpenzeel,GM0279,VR07,Gelderland-Midden,9880
Schiedam,GM0606,VR17,Rotterdam-Rijnmond,78730
Schiermonnikoog,GM0088,VR02,Fryslân,947
Schouwen-Duiveland,GM1676,VR19,Zeeland,33839
Simpelveld,GM0965,VR24,Limburg-Zuid,10555
Sint Anthonis,GM1702,VR21,Brabant-Noord,11664
Sint-Michielsgestel,GM0845,VR21,Brabant-Noord,29208
Sittard-Geleen,GM1883,VR24,Limburg-Zuid,92429
Sliedrecht,GM0610,VR18,Zuid-Holland-Zuid,25220
Sluis,GM1714,VR19,Zeeland,23210
Smallingerland,GM0090,VR02,Fryslân,56150
Soest,GM0342,VR09,Utrecht,46606
Someren,GM0847,VR22,Brabant-Zuidoost,19368
Son en Breugel,GM0848,VR22,Brabant-Zuidoost,17322
Stadskanaal,GM0037,VR01,Groningen,31686
Staphorst,GM0180,VR04,IJsselland,17145
Stede Broec,GM0532,VR10,Noord-Holland-Noord,21726
Steenbergen,GM0851,VR20,Midden-enWest-Brabant,24416
Steenwijkerland,GM1708,VR04,IJsselland,44126
Stein (L.),GM0971,VR24,Limburg-Zuid,25007
Stichtse Vecht,GM1904,VR09,Utrecht,64931
Súdwest-Fryslân,GM1900,VR02,Fryslân,89987
Terneuzen,GM0715,VR19,Zeeland,54426
Terschelling,GM0093,VR02,Fryslân,4888
Texel,GM0448,VR10,Noord-Holland-Noord,13575
Teylingen,GM1525,VR16,Hollands-Midden,37440
Tholen,GM0716,VR19,Zeeland,25757
Tiel,GM0281,VR08,Gelderland-Zuid,42159
Tilburg,GM0855,VR20,Midden-enWest-Brabant,219789
Tubbergen,GM0183,VR05,Twente,21275
Twenterand,GM1700,VR05,Twente,33743
