ID,GMCODE,GMNAAM,VRCODE,VRNAAM,DATE_LAST_INSERTED
107,GM0513,Gouda,VR16,Hollands-Midden,2020-08-03 10:49:31.013
108,GM0786,Grave,VR21,Brabant-Noord,2020-08-03 10:49:31.013
109,GM0518,s-Gravenhage (gemeente),VR15,Haaglanden,2020-08-03 10:49:31.013
110,GM0014,Groningen (gemeente),VR01,Groningen,2020-08-03 10:49:31.013
111,GM1729,Gulpen-Wittem,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
112,GM0158,Haaksbergen,VR05,Twente,2020-08-03 10:49:31.013
113,GM0788,Haaren,VR21,Brabant-Noord,2020-08-03 10:49:31.013
114,GM0392,Haarlem,VR12,Kennemerland,2020-08-03 10:49:31.013
115,GM0394,Haarlemmermeer,VR12,Kennemerland,2020-08-03 10:49:31.013
116,GM1655,Halderberge,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
117,GM0160,Hardenberg,VR04,IJsselland,2020-08-03 10:49:31.013
118,GM0243,Harderwijk,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
119,GM0523,Hardinxveld-Giessendam,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
120,GM0072,Harlingen,VR02,Fryslân,2020-08-03 10:49:31.013
121,GM0244,Hattem,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
122,GM0396,Heemskerk,VR12,Kennemerland,2020-08-03 10:49:31.013
123,GM0397,Heemstede,VR12,Kennemerland,2020-08-03 10:49:31.013
124,GM0246,Heerde,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
125,GM0074,Heerenveen,VR02,Fryslân,2020-08-03 10:49:31.013
126,GM0398,Heerhugowaard,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
127,GM0917,Heerlen,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
128,GM1658,Heeze-Leende,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
129,GM0399,Heiloo,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
130,GM0400,Den Helder,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
131,GM0163,Hellendoorn,VR05,Twente,2020-08-03 10:49:31.013
132,GM0530,Hellevoetsluis,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
133,GM0794,Helmond,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
134,GM0531,Hendrik-Ido-Ambacht,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
135,GM0164,Hengelo (O.),VR05,Twente,2020-08-03 10:49:31.013
136,GM0796,s-Hertogenbosch,VR21,Brabant-Noord,2020-08-03 10:49:31.013
137,GM0252,Heumen,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
138,GM0797,Heusden,VR21,Brabant-Noord,2020-08-03 10:49:31.013
139,GM0534,Hillegom,VR16,Hollands-Midden,2020-08-03 10:49:31.013
140,GM0798,Hilvarenbeek,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
141,GM0402,Hilversum,VR14,GooienVechtstreek,2020-08-03 10:49:31.013
142,GM1963,Hoeksche Waard,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
143,GM1735,Hof van Twente,VR05,Twente,2020-08-03 10:49:31.013
144,GM1966,Het Hogeland,VR01,Groningen,2020-08-03 10:49:31.013
145,GM1911,Hollands Kroon,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
146,GM0118,Hoogeveen,VR03,Drenthe,2020-08-03 10:49:31.013
147,GM0405,Hoorn,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
148,GM1507,Horst aan de Maas,VR23,Limburg-Noord,2020-08-03 10:49:31.013
149,GM0321,Houten,VR09,Utrecht,2020-08-03 10:49:31.013
150,GM0406,Huizen,VR14,GooienVechtstreek,2020-08-03 10:49:31.013
151,GM0677,Hulst,VR19,Zeeland,2020-08-03 10:49:31.013
152,GM0353,IJsselstein,VR09,Utrecht,2020-08-03 10:49:31.013
153,GM1884,Kaag en Braassem,VR16,Hollands-Midden,2020-08-03 10:49:31.013
154,GM0166,Kampen,VR04,IJsselland,2020-08-03 10:49:31.013
155,GM0678,Kapelle,VR19,Zeeland,2020-08-03 10:49:31.013
156,GM0537,Katwijk,VR16,Hollands-Midden,2020-08-03 10:49:31.013
157,GM0928,Kerkrade,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
158,GM1598,Koggenland,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
159,GM0542,Krimpen aan den IJssel,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
160,GM1931,Krimpenerwaard,VR16,Hollands-Midden,2020-08-03 10:49:31.013
161,GM1659,Laarbeek,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
162,GM1685,Landerd,VR21,Brabant-Noord,2020-08-03 10:49:31.013
163,GM0882,Landgraaf,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
164,GM0415,Landsmeer,VR11,Zaanstreek-Waterland,2020-08-03 10:49:31.013
165,GM0416,Langedijk,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
166,GM1621,Lansingerland,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
167,GM0417,Laren (NH.),VR14,GooienVechtstreek,2020-08-03 10:49:31.013
168,GM0080,Leeuwarden,VR02,Fryslân,2020-08-03 10:49:31.013
169,GM0546,Leiden,VR16,Hollands-Midden,2020-08-03 10:49:31.013
170,GM0547,Leiderdorp,VR16,Hollands-Midden,2020-08-03 10:49:31.013
171,GM1916,Leidschendam-Voorburg,VR15,Haaglanden,2020-08-03 10:49:31.013
172,GM0995,Lelystad,VR25,Flevoland,2020-08-03 10:49:31.013
173,GM1640,Leudal,VR23,Limburg-Noord,2020-08-03 10:49:31.013
174,GM0327,Leusden,VR09,Utrecht,2020-08-03 10:49:31.013
175,GM1705,Lingewaard,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
176,GM0553,Lisse,VR16,Hollands-Midden,2020-08-03 10:49:31.013
177,GM0262,Lochem,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
178,GM0809,Loon op Zand,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
179,GM0331,Lopik,VR09,Utrecht,2020-08-03 10:49:31.013
180,GM0024,Loppersum,VR01,Groningen,2020-08-03 10:49:31.013
181,GM0168,Losser,VR05,Twente,2020-08-03 10:49:31.013
182,GM0263,Maasdriel,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
183,GM1641,Maasgouw,VR23,Limburg-Noord,2020-08-03 10:49:31.013
184,GM0556,Maassluis,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
185,GM0935,Maastricht,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
186,GM0420,Medemblik,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
187,GM0938,Meerssen,VR24,Limburg-Zuid,2020-08-03 10:49:31.013
188,GM1948,Meierijstad,VR21,Brabant-Noord,2020-08-03 10:49:31.013
189,GM0119,Meppel,VR03,Drenthe,2020-08-03 10:49:31.013
190,GM0687,Middelburg (Z.),VR19,Zeeland,2020-08-03 10:49:31.013
191,GM1842,Midden-Delfland,VR15,Haaglanden,2020-08-03 10:49:31.013
192,GM1731,Midden-Drenthe,VR03,Drenthe,2020-08-03 10:49:31.013
193,GM1952,Midden-Groningen,VR01,Groningen,2020-08-03 10:49:31.013
194,GM0815,Mill en Sint Hubert,VR21,Brabant-Noord,2020-08-03 10:49:31.013
195,GM1709,Moerdijk,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
196,GM1978,Molenlanden,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
197,GM1955,Montferland,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
198,GM0335,Montfoort,VR09,Utrecht,2020-08-03 10:49:31.013
199,GM0944,Mook en Middelaar,VR23,Limburg-Noord,2020-08-03 10:49:31.013
200,GM1740,Neder-Betuwe,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
201,GM0946,Nederweert,VR23,Limburg-Noord,2020-08-03 10:49:31.013
202,GM0356,Nieuwegein,VR09,Utrecht,2020-08-03 10:49:31.013
203,GM0569,Nieuwkoop,VR16,Hollands-Midden,2020-08-03 10:49:31.013
204,GM0267,Nijkerk,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
205,GM0268,Nijmegen,VR08,Gelderland-Zuid,2020-08-03 10:49:31.013
206,GM1930,Nissewaard,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
207,GM1970,Noardeast-Fryslân,VR02,Fryslân,2020-08-03 10:49:31.013
208,GM1695,Noord-Beveland,VR19,Zeeland,2020-08-03 10:49:31.013
209,GM1699,Noordenveld,VR03,Drenthe,2020-08-03 10:49:31.013
210,GM0171,Noordoostpolder,VR25,Flevoland,2020-08-03 10:49:31.013
211,GM0575,Noordwijk,VR16,Hollands-Midden,2020-08-03 10:49:31.013
212,GM0820,"Nuenen, Gerwen en Nederwetten",VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
213,GM0302,Nunspeet,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
214,GM0579,Oegstgeest,VR16,Hollands-Midden,2020-08-03 10:49:31.013
215,GM0823,Oirschot,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
216,GM0824,Oisterwijk,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
217,GM1895,Oldambt,VR01,Groningen,2020-08-03 10:49:31.013
218,GM0269,Oldebroek,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
219,GM0173,Oldenzaal,VR05,Twente,2020-08-03 10:49:31.013
220,GM1773,Olst-Wijhe,VR04,IJsselland,2020-08-03 10:49:31.013
221,GM0175,Ommen,VR04,IJsselland,2020-08-03 10:49:31.013
222,GM1586,Oost Gelre,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
223,GM0826,Oosterhout,VR20,Midden-enWest-Brabant,2020-08-03 10:49:31.013
224,GM0085,Ooststellingwerf,VR02,Fryslân,2020-08-03 10:49:31.013
225,GM0431,Oostzaan,VR11,Zaanstreek-Waterland,2020-08-03 10:49:31.013
226,GM0432,Opmeer,VR10,Noord-Holland-Noord,2020-08-03 10:49:31.013
227,GM0086,Opsterland,VR02,Fryslân,2020-08-03 10:49:31.013
228,GM0828,Oss,VR21,Brabant-Noord,2020-08-03 10:49:31.013
229,GM1509,Oude IJsselstreek,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
230,GM0437,Ouder-Amstel,VR13,Amsterdam-Amstelland,2020-08-03 10:49:31.013
231,GM0589,Oudewater,VR09,Utrecht,2020-08-03 10:49:31.013
232,GM1734,Overbetuwe,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
233,GM0590,Papendrecht,VR18,Zuid-Holland-Zuid,2020-08-03 10:49:31.013
234,GM1894,Peel en Maas,VR23,Limburg-Noord,2020-08-03 10:49:31.013
235,GM0765,Pekela,VR01,Groningen,2020-08-03 10:49:31.013
236,GM1926,Pijnacker-Nootdorp,VR15,Haaglanden,2020-08-03 10:49:31.013
237,GM0439,Purmerend,VR11,Zaanstreek-Waterland,2020-08-03 10:49:31.013
238,GM0273,Putten,VR06,Noord-enOost-Gelderland,2020-08-03 10:49:31.013
239,GM0177,Raalte,VR04,IJsselland,2020-08-03 10:49:31.013
240,GM0703,Reimerswaal,VR19,Zeeland,2020-08-03 10:49:31.013
241,GM0274,Renkum,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
242,GM0339,Renswoude,VR09,Utrecht,2020-08-03 10:49:31.013
243,GM1667,Reusel-De Mierden,VR22,Brabant-Zuidoost,2020-08-03 10:49:31.013
244,GM0275,Rheden,VR07,Gelderland-Midden,2020-08-03 10:49:31.013
245,GM0340,Rhenen,VR09,Utrecht,2020-08-03 10:49:31.013
246,GM0597,Ridderkerk,VR17,Rotterdam-Rijnmond,2020-08-03 10:49:31.013
247,GM1742,Rijssen-Holten,VR05,Twente,2020-08-03 10:49:31.013
248,GM0603,Rijswijk (ZH.),VR15,Haaglanden,2020-08-03 10:49:31.013
249,GM1669,Roerdalen,VR23,Limburg-Noord,2020-08-03 10:49:31.013
250,GM0957,Roermond,VR23,Limburg-Noord,2020-08-03 10:49:31.013
251,GM0736,De Ronde Venen,VR09,Utrecht,2020-08-03 10:49:31.013
