Week;Seizoenspatroon met marges;Ondergrens;Bovengrens;VR naam;VR Code
2020 week 20;90;72;108;Limburg-Noord;VR23
2020 week 21;89;71;107;Limburg-Noord;VR23
2020 week 22;90;72;108;Limburg-Noord;VR23
2020 week 23;90;72;108;Limburg-Noord;VR23
2020 week 24;90;72;108;Limburg-Noord;VR23
2020 week 25;91;74;108;Limburg-Noord;VR23
2020 week 26;91;75;107;Limburg-Noord;VR23
2020 week 27;91;74;108;Limburg-Noord;VR23
2020 week 28;91;75;107;Limburg-Noord;VR23
2020 week 29;90;74;106;Limburg-Noord;VR23
2020 week 30;89;73;105;Limburg-Noord;VR23
2020 week 31;88;73;103;Limburg-Noord;VR23
2020 week 32;88;71;105;Limburg-Noord;VR23
2020 week 33;87;71;103;Limburg-Noord;VR23
2020 week 34;86;73;99;Limburg-Noord;VR23
2020 week 35;86;73;99;Limburg-Noord;VR23
2020 week 36;87;75;99;Limburg-Noord;VR23
2020 week 37;88;76;100;Limburg-Noord;VR23
2020 week 38;91;78;104;Limburg-Noord;VR23
2020 week 39;90;78;102;Limburg-Noord;VR23
2020 week 40;93;79;107;Limburg-Noord;VR23
2020 week 41;93;77;109;Limburg-Noord;VR23
2020 week 42;95;77;113;Limburg-Noord;VR23
2020 week 43;95;74;116;Limburg-Noord;VR23
2020 week 44;95;73;117;Limburg-Noord;VR23
2020 week 45;96;72;120;Limburg-Noord;VR23
2020 week 46;98;76;120;Limburg-Noord;VR23
2020 week 47;97;76;118;Limburg-Noord;VR23
2020 week 48;99;77;121;Limburg-Noord;VR23
2020 week 49;99;77;121;Limburg-Noord;VR23
2020 week 50;101;79;123;Limburg-Noord;VR23
2020 week 51;103;78;128;Limburg-Noord;VR23
2020 week 52;105;79;131;Limburg-Noord;VR23
2020 week 53;106;80;132;Limburg-Noord;VR23
2021 week 1;106;80;132;Limburg-Noord;VR23
2021 week 2;110;83;137;Limburg-Noord;VR23
2021 week 3;111;83;139;Limburg-Noord;VR23
2021 week 4;114;86;142;Limburg-Noord;VR23
2021 week 5;116;89;143;Limburg-Noord;VR23
2021 week 6;116;89;143;Limburg-Noord;VR23
2021 week 7;117;90;144;Limburg-Noord;VR23
2021 week 8;117;88;146;Limburg-Noord;VR23
2021 week 9;115;86;144;Limburg-Noord;VR23
2021 week 10;112;85;139;Limburg-Noord;VR23
2021 week 11;110;84;136;Limburg-Noord;VR23
2021 week 12;107;80;134;Limburg-Noord;VR23
2021 week 13;106;82;130;Limburg-Noord;VR23
2021 week 14;103;82;124;Limburg-Noord;VR23
2021 week 15;100;80;120;Limburg-Noord;VR23
2021 week 16;97;79;115;Limburg-Noord;VR23
2021 week 17;96;78;114;Limburg-Noord;VR23
2021 week 18;94;75;113;Limburg-Noord;VR23
2021 week 19;93;76;110;Limburg-Noord;VR23
2021 week 20;91;73;109;Limburg-Noord;VR23
2021 week 21;90;72;108;Limburg-Noord;VR23
2021 week 22;90;72;108;Limburg-Noord;VR23
2021 week 23;91;73;109;Limburg-Noord;VR23
2021 week 24;91;73;109;Limburg-Noord;VR23
2021 week 25;92;75;109;Limburg-Noord;VR23
2021 week 26;91;75;107;Limburg-Noord;VR23
2021 week 27;92;75;109;Limburg-Noord;VR23
2021 week 28;92;76;108;Limburg-Noord;VR23
2021 week 29;91;75;107;Limburg-Noord;VR23
2021 week 30;90;74;106;Limburg-Noord;VR23
2021 week 31;89;74;104;Limburg-Noord;VR23
2021 week 32;89;72;106;Limburg-Noord;VR23
2021 week 33;88;72;104;Limburg-Noord;VR23
2021 week 34;87;74;100;Limburg-Noord;VR23
2021 week 35;87;74;100;Limburg-Noord;VR23
2021 week 36;88;76;100;Limburg-Noord;VR23
2021 week 37;89;77;101;Limburg-Noord;VR23
2021 week 38;91;78;104;Limburg-Noord;VR23
2021 week 39;91;79;103;Limburg-Noord;VR23
2021 week 40;94;80;108;Limburg-Noord;VR23
2021 week 41;94;78;110;Limburg-Noord;VR23
2021 week 42;96;78;114;Limburg-Noord;VR23
2021 week 43;96;75;117;Limburg-Noord;VR23
2021 week 44;96;74;118;Limburg-Noord;VR23
2021 week 45;97;73;121;Limburg-Noord;VR23
2021 week 46;99;77;121;Limburg-Noord;VR23
2021 week 47;98;77;119;Limburg-Noord;VR23
2021 week 48;100;78;122;Limburg-Noord;VR23
2021 week 49;100;78;122;Limburg-Noord;VR23
2021 week 50;102;80;124;Limburg-Noord;VR23
2021 week 51;104;79;129;Limburg-Noord;VR23
2021 week 52;106;80;132;Limburg-Noord;VR23
2020 week 1;145;116;174;Limburg-Zuid;VR24
2020 week 2;146;117;175;Limburg-Zuid;VR24
2020 week 3;147;114;180;Limburg-Zuid;VR24
2020 week 4;149;115;183;Limburg-Zuid;VR24
2020 week 5;154;123;185;Limburg-Zuid;VR24
2020 week 6;156;123;189;Limburg-Zuid;VR24
2020 week 7;158;124;192;Limburg-Zuid;VR24
2020 week 8;160;124;196;Limburg-Zuid;VR24
2020 week 9;159;120;198;Limburg-Zuid;VR24
2020 week 10;159;122;196;Limburg-Zuid;VR24
2020 week 11;155;121;189;Limburg-Zuid;VR24
2020 week 12;151;118;184;Limburg-Zuid;VR24
2020 week 13;144;115;173;Limburg-Zuid;VR24
2020 week 14;139;114;164;Limburg-Zuid;VR24
2020 week 15;135;110;160;Limburg-Zuid;VR24
2020 week 16;133;109;157;Limburg-Zuid;VR24
2020 week 17;131;112;150;Limburg-Zuid;VR24
2020 week 18;130;111;149;Limburg-Zuid;VR24
2020 week 19;127;107;147;Limburg-Zuid;VR24
2020 week 20;126;107;145;Limburg-Zuid;VR24
2020 week 21;125;106;144;Limburg-Zuid;VR24
2020 week 22;122;105;139;Limburg-Zuid;VR24
2020 week 23;122;105;139;Limburg-Zuid;VR24
2020 week 24;122;104;140;Limburg-Zuid;VR24
2020 week 25;122;105;139;Limburg-Zuid;VR24
2020 week 26;123;106;140;Limburg-Zuid;VR24
2020 week 27;123;103;143;Limburg-Zuid;VR24
2020 week 28;124;104;144;Limburg-Zuid;VR24
2020 week 29;125;102;148;Limburg-Zuid;VR24
2020 week 30;124;101;147;Limburg-Zuid;VR24
2020 week 31;124;103;145;Limburg-Zuid;VR24
2020 week 32;124;101;147;Limburg-Zuid;VR24
2020 week 33;122;99;145;Limburg-Zuid;VR24
2020 week 34;123;103;143;Limburg-Zuid;VR24
2020 week 35;123;102;144;Limburg-Zuid;VR24
2020 week 36;123;102;144;Limburg-Zuid;VR24
2020 week 37;124;103;145;Limburg-Zuid;VR24
2020 week 38;124;102;146;Limburg-Zuid;VR24
2020 week 39;124;104;144;Limburg-Zuid;VR24
2020 week 40;126;105;147;Limburg-Zuid;VR24
2020 week 41;127;105;149;Limburg-Zuid;VR24
2020 week 42;128;108;148;Limburg-Zuid;VR24
2020 week 43;129;109;149;Limburg-Zuid;VR24
2020 week 44;131;109;153;Limburg-Zuid;VR24
2020 week 45;132;108;156;Limburg-Zuid;VR24
2020 week 46;135;111;159;Limburg-Zuid;VR24
2020 week 47;137;114;160;Limburg-Zuid;VR24
2020 week 48;137;112;162;Limburg-Zuid;VR24
2020 week 49;138;112;164;Limburg-Zuid;VR24
2020 week 50;140;112;168;Limburg-Zuid;VR24
2020 week 51;141;113;169;Limburg-Zuid;VR24
2020 week 52;144;115;173;Limburg-Zuid;VR24
2020 week 53;146;117;175;Limburg-Zuid;VR24
2021 week 1;147;118;176;Limburg-Zuid;VR24
2021 week 2;147;118;176;Limburg-Zuid;VR24
2021 week 3;149;116;182;Limburg-Zuid;VR24
2021 week 4;150;116;184;Limburg-Zuid;VR24
2021 week 5;155;124;186;Limburg-Zuid;VR24
2021 week 6;158;125;191;Limburg-Zuid;VR24
2021 week 7;160;126;194;Limburg-Zuid;VR24
2021 week 8;162;126;198;Limburg-Zuid;VR24
2021 week 9;161;122;200;Limburg-Zuid;VR24
2021 week 10;161;124;198;Limburg-Zuid;VR24
2021 week 11;157;123;191;Limburg-Zuid;VR24
2021 week 12;152;119;185;Limburg-Zuid;VR24
2021 week 13;145;116;174;Limburg-Zuid;VR24
2021 week 14;140;115;165;Limburg-Zuid;VR24
2021 week 15;136;111;161;Limburg-Zuid;VR24
2021 week 16;135;111;159;Limburg-Zuid;VR24
2021 week 17;132;113;151;Limburg-Zuid;VR24
2021 week 18;131;112;150;Limburg-Zuid;VR24
2021 week 19;128;108;148;Limburg-Zuid;VR24
2021 week 20;127;108;146;Limburg-Zuid;VR24
2021 week 21;126;107;145;Limburg-Zuid;VR24
2021 week 22;124;107;141;Limburg-Zuid;VR24
2021 week 23;123;106;140;Limburg-Zuid;VR24
2021 week 24;123;105;141;Limburg-Zuid;VR24
2021 week 25;123;106;140;Limburg-Zuid;VR24
2021 week 26;124;107;141;Limburg-Zuid;VR24
2021 week 27;124;104;144;Limburg-Zuid;VR24
2021 week 28;125;105;145;Limburg-Zuid;VR24
2021 week 29;126;103;149;Limburg-Zuid;VR24
2021 week 30;125;102;148;Limburg-Zuid;VR24
2021 week 31;125;104;146;Limburg-Zuid;VR24
2021 week 32;125;102;148;Limburg-Zuid;VR24
2021 week 33;123;100;146;Limburg-Zuid;VR24
2021 week 34;124;104;144;Limburg-Zuid;VR24
2021 week 35;124;103;145;Limburg-Zuid;VR24
2021 week 36;124;103;145;Limburg-Zuid;VR24
2021 week 37;125;104;146;Limburg-Zuid;VR24
2021 week 38;125;103;147;Limburg-Zuid;VR24
2021 week 39;125;105;145;Limburg-Zuid;VR24
2021 week 40;127;106;148;Limburg-Zuid;VR24
2021 week 41;128;106;150;Limburg-Zuid;VR24
2021 week 42;129;109;149;Limburg-Zuid;VR24
2021 week 43;130;110;150;Limburg-Zuid;VR24
2021 week 44;132;110;154;Limburg-Zuid;VR24
2021 week 45;133;109;157;Limburg-Zuid;VR24
2021 week 46;136;112;160;Limburg-Zuid;VR24
2021 week 47;138;115;161;Limburg-Zuid;VR24
2021 week 48;139;114;164;Limburg-Zuid;VR24
2021 week 49;139;113;165;Limburg-Zuid;VR24
2021 week 50;141;113;169;Limburg-Zuid;VR24
2021 week 51;143;115;171;Limburg-Zuid;VR24
2021 week 52;146;117;175;Limburg-Zuid;VR24
2020 week 1;53;37;68;Flevoland;VR25
2020 week 2;53;38;67;Flevoland;VR25
2020 week 3;53;37;68;Flevoland;VR25
2020 week 4;53;37;68;Flevoland;VR25
2020 week 5;53;37;69;Flevoland;VR25
2020 week 6;51;33;69;Flevoland;VR25
2020 week 7;51;34;69;Flevoland;VR25
2020 week 8;52;34;69;Flevoland;VR25
2020 week 9;52;34;71;Flevoland;VR25
2020 week 10;52;32;72;Flevoland;VR25
2020 week 11;52;32;71;Flevoland;VR25
2020 week 12;49;31;68;Flevoland;VR25
2020 week 13;48;32;64;Flevoland;VR25
2020 week 14;47;31;62;Flevoland;VR25
2020 week 15;46;30;62;Flevoland;VR25
2020 week 16;45;29;61;Flevoland;VR25
2020 week 17;44;31;57;Flevoland;VR25
2020 week 18;43;32;54;Flevoland;VR25
2020 week 19;43;31;54;Flevoland;VR25
2020 week 20;42;30;54;Flevoland;VR25
2020 week 21;42;30;54;Flevoland;VR25
2020 week 22;41;30;52;Flevoland;VR25
2020 week 23;41;31;51;Flevoland;VR25
2020 week 24;43;31;54;Flevoland;VR25
2020 week 25;42;32;53;Flevoland;VR25
2020 week 26;43;32;54;Flevoland;VR25
2020 week 27;44;32;56;Flevoland;VR25
2020 week 28;44;32;56;Flevoland;VR25
2020 week 29;45;32;57;Flevoland;VR25
2020 week 30;45;32;57;Flevoland;VR25
2020 week 31;44;31;57;Flevoland;VR25
2020 week 32;44;30;59;Flevoland;VR25
2020 week 33;44;30;58;Flevoland;VR25
2020 week 34;43;32;55;Flevoland;VR25
2020 week 35;43;32;54;Flevoland;VR25
2020 week 36;42;31;54;Flevoland;VR25
2020 week 37;42;31;54;Flevoland;VR25
2020 week 38;43;32;54;Flevoland;VR25
2020 week 39;44;32;56;Flevoland;VR25
2020 week 40;45;32;57;Flevoland;VR25
2020 week 41;46;33;59;Flevoland;VR25
2020 week 42;47;32;61;Flevoland;VR25
2020 week 43;47;32;62;Flevoland;VR25
2020 week 44;48;33;62;Flevoland;VR25
2020 week 45;47;34;60;Flevoland;VR25
2020 week 46;48;36;60;Flevoland;VR25
2020 week 47;48;36;60;Flevoland;VR25
2020 week 48;48;36;59;Flevoland;VR25
2020 week 49;48;36;60;Flevoland;VR25
2020 week 50;50;38;62;Flevoland;VR25
2020 week 51;52;39;65;Flevoland;VR25
2020 week 52;53;38;69;Flevoland;VR25
2020 week 53;53;38;69;Flevoland;VR25
2021 week 1;53;38;68;Flevoland;VR25
2021 week 2;53;38;68;Flevoland;VR25
2021 week 3;53;37;69;Flevoland;VR25
2021 week 4;53;38;69;Flevoland;VR25
2021 week 5;53;37;70;Flevoland;VR25
2021 week 6;52;34;70;Flevoland;VR25
2021 week 7;52;34;69;Flevoland;VR25
2021 week 8;52;35;69;Flevoland;VR25
2021 week 9;53;34;71;Flevoland;VR25
2021 week 10;53;33;73;Flevoland;VR25
2021 week 11;52;32;72;Flevoland;VR25
2021 week 12;50;31;68;Flevoland;VR25
2021 week 13;48;32;64;Flevoland;VR25
2021 week 14;47;31;63;Flevoland;VR25
2021 week 15;46;31;62;Flevoland;VR25
2021 week 16;45;29;61;Flevoland;VR25
2021 week 17;44;31;57;Flevoland;VR25
2021 week 18;43;32;55;Flevoland;VR25
2021 week 19;43;31;55;Flevoland;VR25
2021 week 20;42;30;54;Flevoland;VR25
2021 week 21;42;31;54;Flevoland;VR25
2021 week 22;41;30;53;Flevoland;VR25
2021 week 23;42;31;52;Flevoland;VR25
2021 week 24;43;32;54;Flevoland;VR25
2021 week 25;43;32;54;Flevoland;VR25
2021 week 26;43;33;54;Flevoland;VR25
2021 week 27;44;32;57;Flevoland;VR25
2021 week 28;45;33;57;Flevoland;VR25
2021 week 29;45;33;58;Flevoland;VR25
2021 week 30;45;33;58;Flevoland;VR25
2021 week 31;44;32;57;Flevoland;VR25
2021 week 32;45;30;59;Flevoland;VR25
2021 week 33;45;31;59;Flevoland;VR25
2021 week 34;44;32;55;Flevoland;VR25
2021 week 35;43;32;54;Flevoland;VR25
2021 week 36;43;31;54;Flevoland;VR25
2021 week 37;43;32;54;Flevoland;VR25
2021 week 38;43;32;54;Flevoland;VR25
2021 week 39;44;33;56;Flevoland;VR25
2021 week 40;45;32;58;Flevoland;VR25
2021 week 41;47;34;60;Flevoland;VR25
2021 week 42;47;32;61;Flevoland;VR25
2021 week 43;47;33;62;Flevoland;VR25
2021 week 44;48;34;62;Flevoland;VR25
2021 week 45;48;35;61;Flevoland;VR25
2021 week 46;48;36;61;Flevoland;VR25
2021 week 47;48;37;60;Flevoland;VR25
2021 week 48;48;37;59;Flevoland;VR25
2021 week 49;49;37;61;Flevoland;VR25
2021 week 50;51;39;63;Flevoland;VR25
2021 week 51;53;40;66;Flevoland;VR25
2021 week 52;54;38;69;Flevoland;VR25
